Product ID,Variant ID,Product Type,Product Page,Product URL,Title,Description,SKU,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,Shop,mmr-quadcontrol-ffpe-block,MMR QuadControl™ FFPE block,"<p>The MMR QuadControl™ FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for MMR immunohistochemistry, configured as a QuadControl™ panel comprising four characterized cell-line population(s). It delivers reproducible, pre-characterized MMR expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Four characterized cell-line population(s) in a QuadControl™ layout.</p>",PCI-02,2000.00,,No,unlimited,FFPE Block,"MMR, QuadControl™",,,,,Yes,https://pci-update.vercel.app/products/02_MMR_QuadControl_FFPE_block.jpg
,,PHYSICAL,Shop,mlh1-msh6-dualcontrol-single-slide,MLH1/MSH6 DualControl™ Single Slide,"<p>The MLH1/MSH6 DualControl™ Single Slide is a pre-sectioned cell-line control slide for MLH1, MSH6 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized MLH1, MSH6 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-05,30.00,,No,unlimited,Slide,"MLH1, MSH6, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/05_MLH1_MSH6_DualControl_Single_Slide.jpg
,,PHYSICAL,Shop,pten-null-dualcontrol-ffpe-block,PTEN NULL DualControl™ FFPE block,"<p>The PTEN NULL DualControl™ FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for PTEN immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized PTEN expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-12,900.00,,No,unlimited,FFPE Block,"PTEN, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/12_PTEN_NULL_DualControl_FFPE_block.jpg
,,PHYSICAL,Shop,brafv600e-single-control-ffpe-block,BRAFV600E Single control FFPE block,"<p>The BRAFV600E Single control FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for BRAFV600E immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized BRAFV600E expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-13,500.00,,No,unlimited,FFPE Block,"BRAFV600E, Single Control",,,,,Yes,https://pci-update.vercel.app/products/13_BRAFV600E_Single_control_FFPE_block.jpg
,,PHYSICAL,Shop,p16-tricontrol-ffpe-block,p16 TriControl™ FFPE block,"<p>The p16 TriControl™ FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p16 immunohistochemistry, configured as a TriControl™ panel comprising three characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Three characterized cell-line population(s) in a TriControl™ layout.</p>",PCI-15,1500.00,,No,unlimited,FFPE Block,"p16, TriControl™",,,,,Yes,https://pci-update.vercel.app/products/15_p16_TriControl_FFPE_block.jpg
,,PHYSICAL,Shop,brafv600e-dualcontrol-ffpe-block,BRAFV600E DualControl™ FFPE block,"<p>The BRAFV600E DualControl™ FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for BRAFV600E immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized BRAFV600E expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-16,900.00,,No,unlimited,FFPE Block,"BRAFV600E, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/16_BRAFV600E_DualControl_FFPE_block.jpg
,,PHYSICAL,Shop,mlh1-dualcontrol-ffpe-block,MLH1 DualControl™ FFPE BLOCK,"<p>The MLH1 DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for MLH1 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized MLH1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-17,900.00,,No,unlimited,FFPE Block,"MLH1, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/17_MLH1_DualControl_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,p16-diffuse-dualcontrol-ffpe-block,p16 Diffuse DualControl™ FFPE BLOCK,"<p>The p16 Diffuse DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p16 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-18,900.00,,No,unlimited,FFPE Block,"p16, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/18_p16_Diffuse_DualControl_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,p53-null-dualcontrol-ffpe-block,p53 NULL DualControl™ FFPE BLOCK,"<p>The p53 NULL DualControl™ FFPE BLOCK is a pre-sectioned cell-line control slide for p53 Null immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized p53 Null expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-19,900.00,,No,unlimited,FFPE,"p53 Null, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/19_p53_NULL_DualControl_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,rb-null-dualcontrol-ffpe-block,RB NULL DualControl™ FFPE block,"<p>The RB NULL DualControl™ FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for RB immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized RB expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-20,900.00,,No,unlimited,FFPE Block,"RB, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/20_RB_NULL_DualControl_FFPE_block.jpg
,,PHYSICAL,Shop,msh2-dualcontrol-ffpe-block,MSH2 DualControl™ FFPE BLOCK,"<p>The MSH2 DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for MSH2 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized MSH2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-21,900.00,,No,unlimited,FFPE Block,"MSH2, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/21_MSH2_DualControl_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,p53-r248q-dualcontrol-ffpe-block,p53 (R248Q) DualControl™ FFPE BLOCK,"<p>The p53 (R248Q) DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p53 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-22,900.00,,No,unlimited,FFPE Block,"p53, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/22_p53_R248Q_DualControl_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,pms2-dualcontrol-ffpe-block,PMS2 DualControl™ FFPE BLOCK,"<p>The PMS2 DualControl™ FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for PMS2 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized PMS2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-23,900.00,,No,unlimited,FFPE Block,"PMS2, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/23_PMS2_DualControl_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,p16-heterogenous-single-control-ffpe-block,p16 Heterogenous SINGLE CONTROL FFPE BLOCK,"<p>The p16 Heterogenous SINGLE CONTROL FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p16 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-24,500.00,,No,unlimited,FFPE Block,"p16, Single Control",,,,,Yes,https://pci-update.vercel.app/products/24_p16_Heterogenous_SINGLE_CONTROL_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,pten-null-single-control-ffpe-block,PTEN-NULL Single control FFPE block,"<p>The PTEN-NULL Single control FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for PTEN immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PTEN expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-25,500.00,,No,unlimited,FFPE Block,"PTEN, Single Control",,,,,Yes,https://pci-update.vercel.app/products/25_PTEN_NULL_Single_control_FFPE_block.jpg
,,PHYSICAL,Shop,pms2-deficient-single-control-ffpe-block,PMS2 Deficient Single control FFPE block,"<p>The PMS2 Deficient Single control FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for PMS2 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PMS2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-26,500.00,,No,unlimited,FFPE Block,"PMS2, Single Control",,,,,Yes,https://pci-update.vercel.app/products/26_PMS2_Deficient_Single_control_FFPE_block.jpg
,,PHYSICAL,Shop,p53-r248q-single-control-ffpe-block,p53 (R248Q) Single control FFPE block,"<p>The p53 (R248Q) Single control FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for p53 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-27,500.00,,No,unlimited,FFPE Block,"p53, Single Control",,,,,Yes,https://pci-update.vercel.app/products/27_p53_R248Q_Single_control_FFPE_block.jpg
,,PHYSICAL,Shop,msh6-deficient-single-control-ffpe-block,MSH6 Deficient Single control FFPE block,"<p>The MSH6 Deficient Single control FFPE block is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for MSH6 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized MSH6 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-28,500.00,,No,unlimited,FFPE Block,"MSH6, Single Control",,,,,Yes,https://pci-update.vercel.app/products/28_MSH6_Deficient_Single_control_FFPE_block.jpg
,,PHYSICAL,Shop,mmr-intact-single-control-single-slide,MMR Intact Single Control Single Slide,"<p>The MMR Intact Single Control Single Slide is a pre-sectioned cell-line control slide for MMR immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized MMR expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-29,15.00,,No,unlimited,Slide,"MMR, Single Control",,,,,Yes,https://pci-update.vercel.app/products/29_MMR_Intact_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,p53-null-single-control-single-slide,p53 NULL Single Control Single Slide,"<p>The p53 NULL Single Control Single Slide is a pre-sectioned cell-line control slide for p53 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-30,15.00,,No,unlimited,Slide,"p53, Single Control",,,,,Yes,https://pci-update.vercel.app/products/30_p53_NULL_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,p53-wild-type-single-control-single-slide,p53 wild type Single Control Single Slide,"<p>The p53 wild type Single Control Single Slide is a pre-sectioned cell-line control slide for p53 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-31,15.00,,No,unlimited,Slide,"p53, Single Control",,,,,Yes,https://pci-update.vercel.app/products/31_p53_wild_type_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,pr-negative-single-control-single-slide,PR negative Single Control Single Slide,"<p>The PR negative Single Control Single Slide is a pre-sectioned cell-line control slide for PR immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PR expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-32,15.00,,No,unlimited,Slide,"PR, Single Control",,,,,Yes,https://pci-update.vercel.app/products/32_PR_negative_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,her2-negative-single-control-single-slide,HER2 Negative Single Control Single Slide,"<p>The HER2 Negative Single Control Single Slide is a pre-sectioned cell-line control slide for HER2 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized HER2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-33,15.00,,No,unlimited,Slide,"HER2, Single Control",,,,,Yes,https://pci-update.vercel.app/products/33_HER2_Negative_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,her2-amp-single-control-single-slide,HER2 AMP Single Control Single Slide,"<p>The HER2 AMP Single Control Single Slide is a pre-sectioned cell-line control slide for HER2 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized HER2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-34,15.00,,No,unlimited,Slide,"HER2, Single Control",,,,,Yes,https://pci-update.vercel.app/products/34_HER2_AMP_Single_Control_Single_Slide.jpg
